id_rest,id_OSM_rest,name
lon_11.721026_lat_51.4012188,way/162057690,Querfurter Platte Nord
lon_11.997727_lat_51.2571166,way/162058211,Saaletal
lon_9.7800847_lat_51.3955138,way/162095820,Hackelberg
lon_9.4159061_lat_51.2721518,way/162096487,Baunsberg
lon_11.0524687_lat_52.2204778,way/162392659,Waldkater
lon_9.2953023_lat_51.3111859,way/162393060,Hundsberg
lon_9.2831674_lat_51.3432322,way/162394515,Rohrberg
lon_9.1405642_lat_51.4446215,way/162406283,Unter den Buchen
lon_9.6038325_lat_51.3476078,way/163685727,Staufenberg
lon_10.1268892_lat_51.8569148,way/167989093,Schwalenberg-Ost
lon_10.1230601_lat_51.8561527,way/167989110,Schwalenberg-West
lon_10.9814416_lat_54.3623714,way/170362889,Ostseeblick
lon_10.9810513_lat_54.3627005,way/170362890,Ostseeblick
lon_14.2175841_lat_52.3368637,way/179313070,Kersdorfer See
lon_14.222133_lat_52.3378744,way/179313071,Berliner Urstromtal
lon_11.922428_lat_51.3459818,way/187165798,Geiseltal
lon_11.9228882_lat_51.346147,way/187165800,Geiseltal
lon_11.8732122_lat_50.759018,way/187418126,Rodaborn
lon_9.2988549_lat_53.2031954,way/190348394,Glindbusch
lon_9.2955316_lat_53.2000997,way/190348395,Glindbusch
lon_9.4285484_lat_53.2538351,way/190667895,Hatzte
lon_9.653454_lat_53.342582,way/191147682,Stellheide
lon_9.6697291_lat_53.3475987,way/191150597,Stellheide
lon_8.6078461_lat_49.9067102,way/201322817,Täubcheshöhle
lon_8.6071636_lat_49.9067628,way/201322818,Brühlgraben
lon_9.8233956_lat_52.5072277,way/201389697,Springhorst
lon_9.1016757_lat_53.0145562,way/201628205,
lon_9.4541541_lat_52.8865005,way/201732963,Hamwiede Süd
lon_9.4711124_lat_52.8827146,way/201734481,Hamwiede Nord
lon_9.6499469_lat_52.7971201,way/201921095,Krelinger Heide
lon_9.7749645_lat_52.577053,way/202065755,Up´n Bummelskampe
lon_9.7769111_lat_52.5742903,way/202066346,Osterriehe
lon_9.7910429_lat_52.9061454,way/202258565,Dorfmark
lon_9.679135_lat_52.8070774,way/202276064,Wolfsgrund Ost
lon_9.6807029_lat_52.8134767,way/202276065,Wolfsgrund West
lon_9.7597687_lat_52.8860299,way/202341654,Steinbach
lon_9.9534437_lat_53.3780392,way/205198182,Sunderblick
lon_9.9577331_lat_53.3781014,way/205198183,Hittfeld
lon_9.8798749_lat_53.3889549,way/206005823,Rosengarten
lon_13.8520632_lat_53.0925266,way/206622294,Wilmersdorfer Forst
lon_7.3726926_lat_53.2222086,way/210112745,Rheiderland
lon_7.3693221_lat_53.2220034,way/210112746,Rheiderland
lon_12.0320348_lat_51.2100148,way/215817520,Pörstental
lon_10.6333468_lat_52.2512109,way/216914010,Herzogsberge
lon_10.6320454_lat_52.2513501,way/216914011,Herzogsberge
lon_10.0413714_lat_53.3330705,way/217667294,Hasselhöhe
lon_10.0385684_lat_53.3493845,way/217670991,Seevetal
lon_9.6802586_lat_50.6048477,way/221257652,Hummelskopf
lon_9.7447582_lat_50.4360417,way/221257679,Lohmühle
lon_9.4723046_lat_51.1759244,way/221257680,Markwald
lon_9.474156_lat_51.1815402,way/221257683,Quillerwald
lon_9.7216043_lat_50.461791,way/221257689,Riederberg
lon_9.6778656_lat_50.6230423,way/221257692,Rotkopf
lon_9.7123388_lat_50.4733475,way/221257697,Steinhauk
lon_11.1650168_lat_51.1280879,way/224344637,Thüringer Becken West
lon_11.165322_lat_51.1277215,way/224344638,Thüringer Becken Ost
lon_10.9544554_lat_50.9407623,way/224345904,Erfurter Becken - Ost
lon_10.4537487_lat_50.4697772,way/224643772,Thüringer Tor
lon_10.4530068_lat_50.4711034,way/224643777,Thüringer Tor
lon_10.5152409_lat_52.0369274,way/224651732,Ziegenberg
lon_10.5080423_lat_52.0491815,way/224652642,Werla
lon_9.4422125_lat_54.6154292,way/226085142,Jalmer Moor
lon_10.6690769_lat_53.8037285,way/226621458,Auf dem Karkfeld
lon_10.675298_lat_53.8007703,way/226621459,Auf dem Karkfeld
lon_10.9549595_lat_50.9380515,way/239356478,Erfurter Becken - West
lon_8.6561041_lat_53.2118683,way/241240609,Bremer Schweiz
lon_8.6583088_lat_53.2111443,way/241240610,Habichthorst
lon_9.8969787_lat_52.4106715,way/241492234,Altwarmbüchener Moor
lon_9.7695186_lat_54.2841989,way/241996816,Ohe Ost
lon_11.3570959_lat_50.9374444,way/243445899,Habichtsfang
lon_11.0708191_lat_50.9099067,way/244665458,Willroder Forst
lon_11.070887_lat_50.9105953,way/244665463,Willroder Forst
lon_10.8080134_lat_50.8782277,way/244665581,Drei Gleichen
lon_10.1726923_lat_51.0086765,way/244666444,Burgberg
lon_9.8774063_lat_50.9046737,way/244667547,Seulingswald
lon_9.0527584_lat_52.2180625,way/244805250,Bruchwiese
lon_9.423032_lat_52.3476048,way/244808059,Bad Nenndorf
lon_9.4208246_lat_52.3458992,way/244808062,Bückethaler Knick
lon_8.2630337_lat_53.1820056,way/244871735,Bornhorster Wiesen Ost
lon_8.2596852_lat_53.1852074,way/244871736,Bornhorster Wiesen West
lon_11.0100226_lat_50.8366037,way/245167702,Dornheimer Rieth
lon_10.5316238_lat_50.5995636,way/245169771,Dolmar
lon_11.6915015_lat_51.9435264,way/245171758,Dreihöhenberg
lon_11.7205665_lat_51.7087958,way/245173175,Saaleaue
lon_11.7174498_lat_51.7113852,way/245173181,Saaleaue
lon_12.0055212_lat_51.5564663,way/245174355,Petersberg
lon_12.0026469_lat_51.5585101,way/245174356,Petersberg
lon_9.9061758_lat_51.6070521,way/246101163,Leineholz
lon_9.9052624_lat_51.601567,way/246101170,Leineholz
lon_9.9423746_lat_51.7161249,way/246102103,Schlochau-Ost
lon_10.3839933_lat_53.9180845,way/258903440,Kronberg
lon_10.3887051_lat_53.9187746,way/258903441,Kronberg
lon_8.4102192_lat_53.0580627,way/264771711,
lon_11.7774094_lat_50.5807536,way/272626083,Himmelsteiche
lon_9.7731665_lat_53.7040762,way/286874829,Forst Rantzau
lon_9.7685523_lat_53.7077592,way/286874830,Forst Rantzau
lon_10.8893354_lat_50.4230805,way/288991130,Im Werratal
lon_10.8907057_lat_50.4209612,way/288991137,Im Werratal
lon_9.4507501_lat_50.3248577,way/289515207,Hundsrücker Berg
lon_9.5406188_lat_50.9403942,way/293899021,Am Pommer
lon_13.968411_lat_53.2173979,way/293946788,Rathsburgseen Süd
lon_10.0335813_lat_51.7803957,way/295963764,Am Bierberg-Ost
lon_10.0338812_lat_51.7811423,way/295963765,Am Bierberg
lon_9.9386962_lat_53.6678072,way/296390971,Bönningstedt
lon_9.9242982_lat_53.8199638,way/296494595,Moorkaten-Ost
lon_9.9398139_lat_53.9224456,way/296503902,Sielsbrook
lon_9.946725_lat_53.9405503,way/296503903,Bimöhlen
lon_11.2514815_lat_51.3300061,way/296859455,Hohe Schrecke Ost
lon_10.0752917_lat_53.2253978,way/299272616,Garlstorfer Wald
lon_8.1980563_lat_52.7804098,way/299469055,Cappeln Hagelage Ost
lon_8.2003211_lat_52.7862705,way/299469056,Cappeln Hagelage West
lon_8.2810289_lat_52.8853475,way/299600733,Engelmannsbäke Nord
lon_8.5064074_lat_52.9359003,way/299600772,
lon_8.656512_lat_52.9922486,way/299600774,
lon_8.1745426_lat_52.7086937,way/301010787,Bakumer Wiesen Ost
lon_11.7769971_lat_50.5810114,way/302623910,Himmelsteiche
lon_10.1538882_lat_52.3604733,way/305047922,Röhrse Süd
lon_8.6053214_lat_49.6640668,way/306850386,Kälberpfad
lon_8.5975012_lat_50.0004823,way/307073506,Kaiserstein
lon_10.3229911_lat_53.7357901,way/310668098,Rehbrook West
lon_10.2594398_lat_53.6359541,way/310735820,Ohlendieck
lon_10.2493842_lat_53.6299917,way/310736042,Ellerbrook
lon_12.9657887_lat_52.5227729,way/317634791,
lon_8.7644676_lat_50.0661731,way/323878114,Hainbach
lon_8.7653162_lat_50.0670321,way/323878115,Hainbach
lon_12.6432698_lat_52.3390277,way/344607450,Grebser Heide
lon_12.6446278_lat_52.3391265,way/344608644,Rietzer See
lon_9.7753836_lat_54.2766464,way/344828110,Ohe West
lon_12.516355_lat_52.3415843,way/345597023,Temnitz
lon_10.8414075_lat_52.3057505,way/345616137,Uhry
lon_8.1151722_lat_53.3867215,way/346384624,
lon_8.0064879_lat_53.2482326,way/346395266,
lon_8.0045611_lat_53.248459,way/346395651,
lon_9.2499078_lat_54.1380406,way/363875371,Dithmarscher Geest
lon_9.7308396_lat_50.557363,way/367969083,Rastplatz Petersberg
lon_9.7394653_lat_50.5111262,way/367969086,Rastplatz Pilgerzell
lon_9.7314325_lat_50.4012351,way/367986496,Rastplatz Rhöneiche
lon_9.7335412_lat_50.3854139,way/368016602,Rastplatz Am Forsthaus
lon_9.6298358_lat_50.7479999,way/368338550,Rastplatz Dornbusch
lon_9.6821912_lat_50.6848592,way/368338551,Rastplatz Günterswald
lon_9.683614_lat_50.6856155,way/368338552,Rastplatz Mahlertshof
lon_9.5495297_lat_50.7894263,way/368338553,Rastplatz Ottersbach
lon_9.7305344_lat_50.5458187,way/368338555,Rastplatz Röther Tannen
lon_9.1106685_lat_50.7152858,way/368605258,Dottenberg
lon_8.9660829_lat_50.6403329,way/368605259,Rastplatz Finkenwald
lon_8.967664_lat_50.6400352,way/368605260,Rastplatz Heg-Berg
lon_9.1042696_lat_50.7142736,way/368605261,Krachgarten
lon_9.3510531_lat_50.7567778,way/368652898,Eifa
lon_8.7562282_lat_50.5199458,way/368724793,Limes-Ost
lon_8.7576588_lat_50.5220146,way/368724794,Limes-West
lon_9.499416_lat_50.801026,way/368724795,Rastplatz Barnholz
lon_9.4729545_lat_50.7936044,way/368724796,Raststätte Rimberg
lon_9.3965197_lat_51.1916109,way/368790415,Am Sonnenborn
lon_9.2789301_lat_51.3543365,way/368790416,Bärenberg
lon_9.3955169_lat_51.1918568,way/368790417,Scharfenstein
lon_13.9559485_lat_53.2109455,way/369329706,Rathsburgseen Nord
lon_12.9854246_lat_52.6306623,way/369357822,
lon_12.5905719_lat_53.0085503,way/369956047,Rossower Heide
lon_12.6092758_lat_52.9913176,way/369956048,
lon_12.274776_lat_53.1981473,way/369956959,Blesenberg
lon_12.276264_lat_53.1954521,way/369956961,Parkplatz Kiebitzberg
lon_12.0740424_lat_53.2849259,way/370026587,
lon_12.0732519_lat_53.2843058,way/370026588,
lon_13.9017286_lat_51.6960837,way/370280807,
lon_13.9503161_lat_52.3112817,way/370328681,Lebbiner Heide
lon_13.9496292_lat_52.3118174,way/370328682,Briesenluch
lon_11.6940307_lat_51.9416459,way/370382589,Dreihöhenberg
lon_13.8491933_lat_53.0912185,way/370731225,Suckower Forst
lon_13.7762186_lat_53.5200667,way/370732036,Ravensmühle
lon_12.6186218_lat_52.0343636,way/371479295,Rabenstein
lon_9.9397588_lat_53.6702339,way/371613557,Bönningstedt
lon_7.5752644_lat_53.2596141,way/371977156,Nortmoor
lon_11.9979819_lat_51.2573447,way/372003060,Saaletal
lon_9.5327857_lat_50.9448923,way/372608183,Fuchsrain
lon_8.6698347_lat_50.6184956,way/374597358,Silbersee
lon_10.6559369_lat_52.3098001,way/374789761,Essehof Nord
lon_13.9981944_lat_51.8273183,way/375034549,Rastplatz Belten - Wótpócywanišćo Běłośin
lon_13.9980682_lat_51.8277903,way/375034553,Rastplatz Leipe - Wótpócywanišćo Lipje
lon_12.5174451_lat_52.3423742,way/375036119,Wendgräben
lon_12.8828997_lat_52.2006051,way/375645614,Borker Heide
lon_12.8828606_lat_52.1997595,way/375645615,Zauche
lon_12.3708436_lat_51.8676138,way/375646480,Kliekener Aue
lon_12.2151522_lat_51.7240882,way/375646534,Mosigkauer Heide
lon_12.2052029_lat_51.4908324,way/375646679,Kapellenberg
lon_12.5320732_lat_53.0701823,way/376036851,Autohof Herzsprung
lon_9.9208466_lat_53.8213382,way/376516530,Moorkaten-West
lon_12.4887602_lat_51.9716412,way/376544328,Rosselquelle
lon_10.891129_lat_54.2412856,way/376558935,Damlos
lon_10.856376_lat_54.1551497,way/376559800,Hasselburger Mühle
lon_8.1724779_lat_52.7161796,way/376573721,Bakumer Wiesen West
lon_8.1276012_lat_52.615531,way/376576072,Rastplatz Langwege-West
lon_8.1265924_lat_52.6136756,way/376576073,Rastplatz Langwege-Ost
lon_8.0307281_lat_52.4241709,way/376579966,Bramsche West
lon_8.0316758_lat_52.415733,way/376580289,Ahrensfeld Ost
lon_7.1021403_lat_52.3357035,way/376762078,Waldseite Nord
lon_9.4719464_lat_54.5394819,way/376781990,Arenholzer See
lon_9.5036584_lat_54.5050978,way/376781992,Hüsby
lon_10.151289_lat_51.9784844,way/376783330,Ambergau
lon_10.1521298_lat_51.9786026,way/376783331,Ambergau
lon_7.5846163_lat_53.2588511,way/377033028,Brinkum
lon_7.7998393_lat_53.2731154,way/377033346,Südgeorgsfehn
lon_7.809923_lat_53.2756363,way/377033347,Südgeorgsfehn
lon_7.3966149_lat_52.3419031,way/377035676,Emstal-Süd
lon_7.407395_lat_52.33904,way/377035677,Emstal Nord
lon_10.1798889_lat_51.0057808,way/383543609,Werratal
lon_11.8562646_lat_51.4660138,way/385792613,Pappelgrund
lon_11.857285_lat_51.4667145,way/385792614,Pappelgrund
lon_13.7274294_lat_51.9932646,way/396012069,Krausnicker Berge
lon_13.7259511_lat_51.9926105,way/414442340,Am Bugkgraben
lon_8.5164535_lat_50.5923098,way/444247150,Kochsgrund
lon_8.5219142_lat_50.5910157,way/444247151,Vogelsang
lon_10.2127333_lat_54.1387697,way/465224139,Depenauer Moor
lon_8.601339_lat_53.0351727,way/478639454,
lon_8.3213798_lat_53.0763179,way/478639455,Rastplatz Hemmelsberg
lon_8.3918309_lat_53.0580378,way/478639457,
lon_9.4436964_lat_50.7901379,way/482052573,Rastplatz Frohnkreuz
lon_9.9017252_lat_52.9620913,way/496954442,Abelbeck-Kuhbusch
lon_8.2878722_lat_50.7097059,way/509122229,Rastplatz Hirschkopf
lon_9.4544286_lat_50.3278031,way/511172087,Weinberg
lon_8.6953849_lat_50.4835355,way/536735514,Pfahlgraben
lon_7.1699082_lat_52.7895152,way/542179382,Dankern
lon_8.3511087_lat_50.6250118,way/598383170,Rastplatz Volkersbach
lon_8.2313263_lat_50.7463103,way/598742221,Auf dem Bon
lon_8.2341062_lat_50.7448722,way/598753242,Schlierberg
lon_11.9466188_lat_50.8889659,way/639457252,Tümmelsberg
lon_8.5524082_lat_52.9532189,way/644581984,Delmetal Nord
lon_7.0388979_lat_52.3124962,way/669127953,Bentheimer Wald
lon_7.0475122_lat_52.3150498,way/669127954,De Poppe
lon_11.9467773_lat_50.8894919,way/693839444,Tümmelsberg
lon_13.1525352_lat_52.3854871,way/737434427,Am Stern
lon_13.1523908_lat_52.3828016,way/737434437,Parforceheide
lon_11.7099428_lat_50.8741147,way/751898205,Rodablick
lon_8.1811559_lat_50.7558251,way/759899619,Rastplatz Scheidskopf
lon_9.3607539_lat_54.7605641,way/760732462,Handewitter Forst
lon_8.5326591_lat_52.9474104,way/761681919,Delmetal Süd
lon_13.0690147_lat_52.7049792,way/781002595,Ziethener Luch
lon_13.0680682_lat_52.7042058,way/781002596,Krämer Forst
lon_8.2751069_lat_52.8833357,way/798626978,Engelmannsbäke Süd
lon_7.2412833_lat_53.0872526,way/837507547,Olle Rheen Ost
lon_7.2401552_lat_53.0870132,way/837507548,Olle Rheen West
lon_12.9224257_lat_52.4200411,way/868949041,
lon_12.7592133_lat_52.8776048,way/915630045,Ruppiner See
lon_12.7580653_lat_52.8778128,way/915630046,Am Rhinluch
lon_7.2005154_lat_52.2816225,way/988014767,Gut Friedrichstal
lon_8.5597202_lat_49.5969765,way/992004892,Wildbahn
lon_10.7306355_lat_50.559048,way/1171916133,Adlersberg
lon_9.7695159_lat_52.5102873,way/1192709800,Rastplatz Bissendorf Süd
